modifieddate,nombre,descripcion,url,image,localStorageKey,clasificacion
2023-10-08,Color,,color/,icons/paint_palette_32px.png,color_carta,LISTAR
2023-10-08,Date,,checkedTimeInicio,icons/calendar_32px.png,checkedTimeFin,FECHA
2023-10-08,Genre,,genero/,icons/todo_list_26px.png,genero,LISTAR
2023-10-08,Order,,colorFormatListNumberedIcon,icons/alphabetical_sorting_50px.png,orden,ORDENAR
2023-10-08,Score,,colorStarIco,icons/star_filled_50px.png,valueRating,PUNTUACION
2023-10-08,Transmission,,colorCellTowerIcon,icons/radio_tower_26px.png,tansmicion,TRANSMISION
