modifieddate,nombre,sinopsis,emision,fechasalida,image,categoria__nombre,genero__nombre,cantidadepisodios,promedio_puntuaciones_imdb,linkimdb
2024-07-07,Saint Seiya The Lost Canvas,"Story of the Holy War taking place in the 18th century, 250 years before the original Saint Seiya series. It centers on the fight between Tenma, one of the 88 Saints following Athena, and Alone, the reincarnation of the God Hades.",False,2009-06-01,portada/2023/10/10/Saint_Seiya_The_Lost_Canvas.jpg,Anime,Martial Arts,16,8.1,https://www.imdb.com/title/tt2152368/
2024-07-07,Saint Seiya The Lost Canvas,"Story of the Holy War taking place in the 18th century, 250 years before the original Saint Seiya series. It centers on the fight between Tenma, one of the 88 Saints following Athena, and Alone, the reincarnation of the God Hades.",False,2009-06-01,portada/2023/10/10/Saint_Seiya_The_Lost_Canvas.jpg,Anime,Supernatural,16,8.1,https://www.imdb.com/title/tt2152368/
2024-07-07,Sakugan!!,"The ""Labyrinth"" is an expansive space deep underground where humans live in clusters known as ""colonies."" Over the years, the surface has become a distant memory-even perhaps only a fantasy to those who have never experienced its wonders. Making sure humanity survives the harsh c... ",False,2021-10-01,portada/2023/05/10/Sakugan_MID.jpg,Anime,Mecha,12,6.0,https://www.imdb.com/title/tt13580730/
2024-07-07,Sakugan!!,"The ""Labyrinth"" is an expansive space deep underground where humans live in clusters known as ""colonies."" Over the years, the surface has become a distant memory-even perhaps only a fantasy to those who have never experienced its wonders. Making sure humanity survives the harsh c... ",False,2021-10-01,portada/2023/05/10/Sakugan_MID.jpg,Anime,Science Fiction,12,6.0,https://www.imdb.com/title/tt13580730/
2024-07-07,Sakurada Reset,"Misora has the power to reset time backwards by up to three days, and Kei has as photographic memory that allows him to remember everything, despite the reset. Together, they try to correct the mistakes of the past.",False,2007-04-01,portada/2022/12/04/Sakurada_Reset_MID.jpg,Anime,Super powers,24,7.4,https://www.imdb.com/title/tt7537488/
2024-07-07,Sakurada Reset,"Misora has the power to reset time backwards by up to three days, and Kei has as photographic memory that allows him to remember everything, despite the reset. Together, they try to correct the mistakes of the past.",False,2007-04-01,portada/2022/12/04/Sakurada_Reset_MID.jpg,Anime,Mystery,24,7.4,https://www.imdb.com/title/tt7537488/
2024-07-07,Sakurada Reset,"Misora has the power to reset time backwards by up to three days, and Kei has as photographic memory that allows him to remember everything, despite the reset. Together, they try to correct the mistakes of the past.",False,2007-04-01,portada/2022/12/04/Sakurada_Reset_MID.jpg,Anime,School,24,7.4,https://www.imdb.com/title/tt7537488/
2024-07-07,Sakurada Reset,"Misora has the power to reset time backwards by up to three days, and Kei has as photographic memory that allows him to remember everything, despite the reset. Together, they try to correct the mistakes of the past.",False,2007-04-01,portada/2022/12/04/Sakurada_Reset_MID.jpg,Anime,Supernatural,24,7.4,https://www.imdb.com/title/tt7537488/
2024-07-07,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,"Shoutarou Tatewaki, a high schooler living in Asahikawa City, Hokkaido, meets Sakurako Kujou, a bone-loving ojou-san who has an ability to analyze specimen. Because of meeting her, he has to accompany her to various cases.",False,2015-10-01,portada/2022/12/04/Sakurako-san_no_Ashimoto_ni_wa_Shitai_ga_Umatteiru_MID.jpg,Anime,Mystery,12,6.8,https://www.imdb.com/title/tt5194246/
2024-07-07,Sakurasou no Pet na Kanojo,Sorata is a normal student living in an abnormal dorm and he wants desperately to escape. But his plans are put on hold when a new student moves in. Attentions stray and sanity frays as the housebreaking continues in Pet Girl of Sakurasou.,False,2012-10-01,portada/2022/12/04/Sakurasou_no_Pet_na_Kanojo_MID.png,Anime,School,24,7.7,https://www.imdb.com/title/tt2296348/
2024-07-07,Sakurasou no Pet na Kanojo,Sorata is a normal student living in an abnormal dorm and he wants desperately to escape. But his plans are put on hold when a new student moves in. Attentions stray and sanity frays as the housebreaking continues in Pet Girl of Sakurasou.,False,2012-10-01,portada/2022/12/04/Sakurasou_no_Pet_na_Kanojo_MID.png,Anime,Romance,24,7.7,https://www.imdb.com/title/tt2296348/
2024-07-07,Sakurasou no Pet na Kanojo,Sorata is a normal student living in an abnormal dorm and he wants desperately to escape. But his plans are put on hold when a new student moves in. Attentions stray and sanity frays as the housebreaking continues in Pet Girl of Sakurasou.,False,2012-10-01,portada/2022/12/04/Sakurasou_no_Pet_na_Kanojo_MID.png,Anime,Comedy,24,7.7,https://www.imdb.com/title/tt2296348/
2024-07-07,Sakurasou no Pet na Kanojo,Sorata is a normal student living in an abnormal dorm and he wants desperately to escape. But his plans are put on hold when a new student moves in. Attentions stray and sanity frays as the housebreaking continues in Pet Girl of Sakurasou.,False,2012-10-01,portada/2022/12/04/Sakurasou_no_Pet_na_Kanojo_MID.png,Anime,Ecchi,24,7.7,https://www.imdb.com/title/tt2296348/
2024-07-07,Samurai 7,"A small village gets raided by bandits every harvest season. The villagers can't take it anymore, and decide to recruit samurais to defend them in exchange for rice. Will the villagers find who would defend them from the bandits?",False,2004-06-01,portada/2022/12/04/Samurai_7_MID.jpg,Anime,Samurai,26,7.6,https://www.imdb.com/title/tt0482424/
2024-07-07,Samurai 7,"A small village gets raided by bandits every harvest season. The villagers can't take it anymore, and decide to recruit samurais to defend them in exchange for rice. Will the villagers find who would defend them from the bandits?",False,2004-06-01,portada/2022/12/04/Samurai_7_MID.jpg,Anime,Science Fiction,26,7.6,https://www.imdb.com/title/tt0482424/
2024-07-07,Samurai 7,"A small village gets raided by bandits every harvest season. The villagers can't take it anymore, and decide to recruit samurais to defend them in exchange for rice. Will the villagers find who would defend them from the bandits?",False,2004-06-01,portada/2022/12/04/Samurai_7_MID.jpg,Anime,Historical,26,7.6,https://www.imdb.com/title/tt0482424/
2024-07-07,Samurai 7,"A small village gets raided by bandits every harvest season. The villagers can't take it anymore, and decide to recruit samurais to defend them in exchange for rice. Will the villagers find who would defend them from the bandits?",False,2004-06-01,portada/2022/12/04/Samurai_7_MID.jpg,Anime,Mecha,26,7.6,https://www.imdb.com/title/tt0482424/
2024-07-07,Samurai Champloo,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",False,2004-05-01,portada/2022/12/04/Samurai_Champloo_MID.jpg,Anime,Historical,26,8.5,https://www.imdb.com/title/tt0423731/
2024-07-07,Samurai Champloo,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",False,2004-05-01,portada/2022/12/04/Samurai_Champloo_MID.jpg,Anime,Comedy,26,8.5,https://www.imdb.com/title/tt0423731/
